ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m, fX, fY, fZ
133, 7.82754, 5.7639, 9.66396, 0.930478, -10.9763, -19.716, 1860.96, -21952.5, -39431.9, 1, -1860.96, 21942.7, 39431.9
134, 2.11128, 4.99772, 2.82929, -0.0151279, -0.0846863, 0.0259339, -30.2557, -169.373, 51.8677, 1, 30.2557, 159.563, -51.8677
135, 7.03531, 6.07657, 6.98512, 171.985, 51.6977, -406.957, 343971, 103395, -813914, 1, -343971, -103405, 813914
136, 1.10885, 5.62308, 4.3675, 23.5291, -65.8226, 3.80905, 47058.2, -131645, 7618.1, 1, -47058.2, 131635, -7618.1
137, 2.68474, 6.39403, 6.26534, 3.1858, 1.25803, 1.49259, 6371.61, 2516.07, 2985.18, 1, -6371.61, -2525.88, -2985.18
138, 6.73489, 0.0279917, 8.43429, 9.56996, -10.759, -8.10233, 19139.9, -21518.1, -16204.7, 1, -19139.9, 21508.3, 16204.7
139, 3.51669, 6.33085, 9.38393, 0.256072, -0.274142, 0.0221822, 512.145, -548.284, 44.3645, 1, -512.145, 538.474, -44.3645
140, 7.58258, 8.87832, 4.672, 2.25442, -4.15922, 4.62463, 4508.84, -8318.45, 9249.25, 1, -4508.84, 8308.64, -9249.25
141, 1.14318, 2.2511, 2.49304, -0.384755, 1.75038, 0.328666, -769.51, 3500.76, 657.333, 1, 769.51, -3510.57, -657.333
142, 0.606532, 1.99737, 1.0217, 4.43013, 3.91301, 0.0577529, 8860.26, 7826.01, 115.506, 1, -8860.26, -7835.82, -115.506
143, 0.947103, 3.38959, 0.831079, -28.5689, -170.024, -89.6828, -57137.9, -340048, -179366, 1, 57137.9, 340038, 179366
144, 2.42489, 0.983615, 2.29431, 1.79876, -3.36051, -3.34141, 3597.52, -6721.02, -6682.82, 1, -3597.52, 6711.21, 6682.82
145, 0.323941, 1.68414, 0.801897, -1.21829, -5.06547, -7.89338, -2436.57, -10130.9, -15786.8, 1, 2436.57, 10121.1, 15786.8
146, 7.51867, 4.83508, 3.2664, 1.38566, 1.30138, 0.404473, 2771.33, 2602.77, 808.946, 1, -2771.33, -2612.58, -808.946
147, 0.81851, 6.01454, 6.4814, -0.408312, -0.0997091, 0.129106, -816.624, -199.418, 258.213, 1, 816.624, 189.608, -258.213
148, 3.82707, 0.818254, 0.133088, 0.0223873, -0.0476996, -0.411274, 44.7746, -95.3992, -822.548, 1, -44.7746, 85.5892, 822.548
149, 4.2341, 3.00226, 7.94935, 0.0652375, 0.0437948, -0.215185, 130.475, 87.5897, -430.371, 1, -130.475, -97.3997, 430.371
150, 3.53939, 5.08332, 5.45369, 14.088, -10.2694, -19.822, 28175.9, -20538.8, -39644, 1, -28175.9, 20529, 39644
151, 5.9791, 4.5637, 4.60028, 418.755, -27.1966, -54.7493, 837511, -54393.3, -109499, 1, -837511, 54383.5, 109499
152, 1.00174, 7.95934, 0.51699, -0.245484, -0.307289, -0.412483, -490.967, -614.578, -824.966, 1, 490.967, 604.768, 824.966
153, 0.476705, 5.20227, 9.35363, 4.62721, -0.179153, -8.63641, 9254.42, -358.305, -17272.8, 1, -9254.42, 348.495, 17272.8
154, 4.91133, 9.05068, 0.319579, 0.933961, 4.26318, 0.884266, 1867.92, 8526.37, 1768.53, 1, -1867.92, -8536.18, -1768.53
155, 7.02571, 4.06377, 7.24181, -88.3488, 104.104, -159.229, -176698, 208207, -318459, 1, 176698, -208217, 318459
156, 9.81547, 6.96613, 4.18686, 2.79955, -3.30529, -8.37721, 5599.1, -6610.57, -16754.4, 1, -5599.1, 6600.76, 16754.4
157, 0.47426, 9.99455, 6.38152, 0.00431508, 0.0212481, -0.000841988, 8.63017, 42.4961, -1.68398, 1, -8.63017, -52.3061, 1.68398
158, 8.95814, 7.41425, 8.79599, -1.32013, -0.138892, -0.772063, -2640.27, -277.783, -1544.13, 1, 2640.27, 267.973, 1544.13
159, 2.9721, 7.55913, 7.42502, -0.878647, 0.839861, 0.0520344, -1757.29, 1679.72, 104.069, 1, 1757.29, -1689.53, -104.069
160, 1.22436, 0.310241, 4.82701, -8.39617, -9.12154, -4.51905, -16792.3, -18243.1, -9038.1, 1, 16792.3, 18233.3, 9038.1
161, 1.49281, 8.45941, 4.47876, 1.61974, -0.292674, -1.13305, 3239.48, -585.348, -2266.11, 1, -3239.48, 575.538, 2266.11
162, 7.08961, 3.97829, 0.270463, -3752.68, 9047.35, -2369.53, -7.50536e+06, 1.80947e+07, -4.73905e+06, 1, 7.50536e+06, -1.80947e+07, 4.73905e+06
163, 7.79774, 7.77268, 7.91843, 0.00379088, -0.0154058, 0.161553, 7.58176, -30.8116, 323.107, 1, -7.58176, 21.0016, -323.107
164, 1.097, 5.48924, 9.75839, 446.983, 192.979, -1587.22, 893967, 385958, -3.17444e+06, 1, -893967, -385968, 3.17444e+06
165, 2.89833, 6.92373, 0.134736, -469.924, 235.106, -114.292, -939849, 470213, -228585, 1, 939849, -470223, 228585
166, 8.92285, 5.64776, 9.90913, 0.341704, -0.237852, 0.0713304, 683.409, -475.703, 142.661, 1, -683.409, 465.893, -142.661
167, 1.64195, 1.26559, 2.36789, 28.2655, 222.453, 209.727, 56531, 444907, 419454, 1, -56531, -444916, -419454
168, 4.07742, 7.16378, 4.60445, -8.12323, 32.7266, 41.744, -16246.5, 65453.3, 83488, 1, 16246.5, -65463.1, -83488
169, 9.79762, 6.83971, 5.50301, 1.46129, 8.79773, -3.64708, 2922.58, 17595.5, -7294.15, 1, -2922.58, -17605.3, 7294.15
170, 1.50932, 0.443989, 0.00446654, -0.00253436, -0.0154014, -0.00180844, -5.06872, -30.8028, -3.61687, 1, 5.06872, 20.9928, 3.61687
171, 8.19291, 7.58285, 5.60212, 6.58192, 40.198, -9.46755, 13163.8, 80396, -18935.1, 1, -13163.8, -80405.8, 18935.1
172, 5.05544, 6.33465, 1.10433, 0.361342, -3.13427, -3.12099, 722.683, -6268.53, -6241.99, 1, -722.683, 6258.72, 6241.99
173, 6.01497, 4.88017, 1.50938, -1.92319, -2.1955, -0.729145, -3846.38, -4390.99, -1458.29, 1, 3846.38, 4381.18, 1458.29
174, 3.86126, 2.21714, 3.20838, 1.9546, 3.54299, 14.7032, 3909.2, 7085.99, 29406.4, 1, -3909.2, -7095.8, -29406.4
175, 1.51083, 4.08054, 4.53133, -1.94755, -14.2249, 19.6672, -3895.09, -28449.7, 39334.5, 1, 3895.09, 28439.9, -39334.5
176, 0.0649462, 0.39272, 1.1238, -0.11352, -0.104644, -0.00888622, -227.039, -209.287, -17.7724, 1, 227.039, 199.477, 17.7724
177, 2.72226, 4.70625, 7.26979, 3.78597, 1.01792, 3.78925, 7571.94, 2035.84, 7578.5, 1, -7571.94, -2045.65, -7578.5
178, 3.92531, 8.79301, 1.41034, 0.200554, 0.312439, 0.510493, 401.108, 624.878, 1020.99, 1, -401.108, -634.688, -1020.99
179, 3.35523, 5.48099, 0.967038, -9.96251, 12.2155, -5.70264, -19925, 24431.1, -11405.3, 1, 19925, -24440.9, 11405.3
180, 6.26137, 2.27863, 8.62228, -3.60838, 1.59256, -0.579885, -7216.76, 3185.12, -1159.77, 1, 7216.76, -3194.93, 1159.77
181, 6.7719, 7.50363, 2.0244, 77.4023, -147.445, -60.808, 154805, -294891, -121616, 1, -154805, 294881, 121616
182, 2.69267, 9.8568, 6.08088, 0.176856, 3.59547, 3.67586, 353.711, 7190.94, 7351.72, 1, -353.711, -7200.75, -7351.72
183, 1.89728, 8.28782, 0.0626116, 0.0504365, -0.0723736, 0.211006, 100.873, -144.747, 422.013, 1, -100.873, 134.937, -422.013
